"Open";"High";"Low";"Close";"Volume";"Day"
"2009-12-16";0.516503759398496;0.547169811320755;0.489860039988575;0.517221645981616;45004450;2009-12-16
"2009-12-17";0.519041924846904;0.534926470588235;0.500928239914316;0.516422158966499;27239850;2009-12-17
"2009-12-18";0.513435108967618;0.529823269513991;0.506974075800495;0.520729261622607;22838900;2009-12-18
"2009-12-21";0.517631740750118;0.539979889017169;0.510922855082913;0.526801876685507;26260950;2009-12-21
"2009-12-22";0.527229647180778;0.54155303030303;0.518529487986376;0.536043524255705;18051800;2009-12-22
"2009-12-23";0.53294580911307;0.551435132032147;0.527099664053751;0.543612937554635;18094100;2009-12-23
"2009-12-24";0.540395512026718;0.56032775426197;0.521026986506747;0.539198039140592;18505550;2009-12-24
"2009-12-25";0.537738731856379;0.548938976607053;0.527249298870613;0.53393665158371;7294850;2009-12-25
"2009-12-28";0.532456705445451;0.544055464553731;0.527159427906453;0.538490566037736;10124250;2009-12-28
"2009-12-29";0.536903910572472;0.548477397389824;0.526471677156609;0.537756842964172;17406350;2009-12-29
"2009-12-30";0.534223706176962;0.554952561669829;0.531863653204891;0.548872180451128;15251750;2009-12-30
"2009-12-31";0.549627791563275;0.550574063617542;0.540450065092059;0.54427219199523;2874300;2009-12-31
"2010-01-11";0.541758679361402;0.563588944832832;0.522196056377632;0.544628654247234;28237450;2010-01-11
"2010-01-12";0.541998577524893;0.562509090909091;0.534524776604387;0.558720023219534;18567800;2010-01-12
"2010-01-13";0.557119296316658;0.577143908722856;0.536743362831858;0.558671905980749;19586950;2010-01-13
"2010-01-14";0.557204523563198;0.570141663639666;0.537137809187279;0.55641461035442;24741800;2010-01-14
"2010-01-15";0.556595590892664;0.571119979496943;0.545652173913044;0.560628660821479;19463500;2010-01-15
"2010-01-18";0.560460090113191;0.570387545544882;0.546178571428571;0.550612784507093;17140500;2010-01-18
"2010-01-19";0.549626772384728;0.563761333723311;0.532535714285714;0.545421903052065;27870900;2010-01-19
"2010-01-20";0.54673099078341;0.561243144424132;0.533868344764194;0.554721381974562;25103150;2010-01-20
"2010-01-21";0.553457071529361;0.572067705614794;0.538397780100184;0.558765013632009;24774150;2010-01-21
"2010-01-22";0.555572070900375;0.575996961640714;0.543614280456386;0.563073222071869;22038450;2010-01-22
"2010-01-25";0.560876190476191;0.577875598086124;0.547972267779931;0.567322983718289;19903350;2010-01-25
"2010-01-26";0.569731800766283;0.586874260938116;0.554177918077055;0.568900077459334;22503100;2010-01-26
"2010-01-27";0.572407616525836;0.583287040711055;0.554573643410853;0.565776031434185;28335050;2010-01-27
"2010-01-28";0.564932038834951;0.575244427062964;0.547946768060836;0.556771073238139;28806000;2010-01-28
"2010-01-29";0.556028808177805;0.571434184675835;0.547062635812588;0.562463457415708;26483850;2010-01-29
"2010-02-01";0.56305366353006;0.578612068274702;0.559827383287564;0.568473721534946;17350650;2010-02-01
"2010-02-02";0.571148569188554;0.575213911123378;0.552986883101896;0.563812036785534;25152850;2010-02-02
"2010-02-03";0.563231625407791;0.578081872254403;0.552759802055577;0.56552662261951;26331150;2010-02-03
"2010-02-04";0.564263200902759;0.583084577114428;0.554352030947776;0.571394743073644;23001650;2010-02-04
"2010-02-05";0.571846449751563;0.584126465422164;0.55379118697896;0.566720647773279;31677000;2010-02-05
"2010-02-08";0.561935483870968;0.584353797782558;0.552150430086017;0.568998729456125;23753300;2010-02-08
"2010-02-09";0.565899666639564;0.583298986068749;0.558551307847083;0.575129957840449;18658050;2010-02-09
